first,last,prediction
1696218130,1696218139,99.9999463558197
1696218140,1696218149,99.4511067867279
1696218150,1696218159,99.98463988304138
1696218160,1696218169,99.98341202735901
1696218170,1696218179,99.99998807907104
1696218180,1696218189,100.0
1696218190,1696218199,99.9391496181488
1696218200,1696218209,99.99969601631165
1696218210,1696218219,99.99680519104004
1696218220,1696218229,99.99873042106628
1696218230,1696218239,99.98816251754761
1696218240,1696218249,99.99995231628418
1696218250,1696218259,99.99939799308777
1696218260,1696218269,99.99998807907104
1696218270,1696218279,99.99998807907104
1696218280,1696218289,99.99123215675354
1696218290,1696218299,100.0
1696218300,1696218309,99.99762773513794
1696218310,1696218319,99.99964833259583
1696218320,1696218329,99.9994158744812
1696218330,1696218339,99.99943375587463
1696218340,1696218349,99.80800151824951
1696218350,1696218359,99.99750256538391
1696218360,1696218369,99.99997019767761
1696218370,1696218379,93.83269548416138
1696218380,1696218389,99.999338388443
1696218390,1696218399,99.99038577079773
1696218400,1696218409,100.0
1696218410,1696218419,100.0
1696218420,1696218429,99.99998807907104
1696218430,1696218439,99.99999403953552
1696218440,1696218449,100.0
1696218450,1696218459,99.99996423721313
1696218460,1696218469,99.99991655349731
1696218470,1696218479,99.99998211860657
1696218480,1696218489,99.9993622303009
1696218490,1696218499,99.98912215232849
1696218500,1696218509,99.44157004356384
1696218510,1696218519,99.37700033187866
1696218520,1696218529,99.62153434753418
1696218530,1696218539,99.99972581863403
1696218540,1696218549,99.9541163444519
1696218550,1696218559,99.99567866325378
1696218560,1696218569,99.8872458934784
1696218570,1696218579,99.82681274414062
1696218580,1696218589,99.99796152114868
1696218590,1696218599,99.99952912330627
1696218600,1696218609,100.0
1696218610,1696218619,99.99998211860657
1696218620,1696218629,99.99991655349731
1696218630,1696218639,100.0
1696218640,1696218649,99.98819828033447
1696218650,1696218659,100.0
1696218660,1696218669,100.0
1696218670,1696218679,100.0
1696218680,1696218689,100.0
1696218690,1696218699,100.0
1696218700,1696218709,100.0
1696218710,1696218719,100.0
1696218720,1696218729,99.99983310699463
1696218730,1696218739,99.99761581420898
1696218740,1696218749,99.99999403953552
1696218750,1696218759,100.0
1696218760,1696218769,100.0
1696218770,1696218779,99.99997615814209
1696218780,1696218789,99.99985098838806
1696218790,1696218799,99.91740584373474
1696218800,1696218809,99.91804361343384
1696218810,1696218819,99.9999463558197
1696218820,1696218829,99.99658465385437
1696218830,1696218839,99.99959468841553
1696218840,1696218849,99.99960064888
1696218850,1696218859,99.99831914901733
1696218860,1696218869,99.99998807907104
1696218870,1696218879,99.99993443489075
1696218880,1696218889,99.99998807907104
1696218890,1696218899,100.0
1696218900,1696218909,99.9757468700409
1696218910,1696218919,99.99992251396179
1696218920,1696218929,99.99780654907227
1696218930,1696218939,99.99998807907104
1696218940,1696218949,100.0
1696218950,1696218959,99.7895359992981
1696218960,1696218969,99.99987483024597
1696218970,1696218979,99.99991655349731
1696218980,1696218989,99.9998688697815
1696218990,1696218999,99.98553395271301
1696219000,1696219009,99.92762207984924
1696219010,1696219019,99.99958276748657
1696219020,1696219029,100.0
1696219030,1696219039,99.99994039535522
1696219040,1696219049,99.99999403953552
1696219050,1696219059,99.99936819076538
1696219060,1696219069,99.99985694885254
1696219070,1696219079,99.99961256980896
1696219080,1696219089,99.99988079071045
1696219090,1696219099,99.9998390674591
1696219100,1696219109,99.99977350234985
1696219110,1696219119,99.99399185180664
1696219120,1696219129,100.0
1696219130,1696219139,99.99993443489075
1696219140,1696219149,99.99836683273315
1696219150,1696219159,99.99932050704956
1696219160,1696219169,100.0
1696219170,1696219179,99.99985098838806
1696219180,1696219189,99.99994039535522
1696219190,1696219199,99.99999403953552
1696219200,1696219209,99.99977946281433
1696219210,1696219219,99.99997019767761
1696219220,1696219229,99.99998807907104
1696219230,1696219239,99.99999403953552
1696219240,1696219249,99.99995231628418
1696219250,1696219259,99.99998807907104
1696219260,1696219269,100.0
1696219270,1696219279,99.99513030052185
1696219280,1696219289,99.99992251396179
1696219290,1696219299,99.998939037323
1696219300,1696219309,99.9998152256012
1696219310,1696219319,99.99947547912598
1696219320,1696219329,99.99997019767761
1696219330,1696219339,99.99911189079285
1696219340,1696219349,99.99948740005493
1696219350,1696219359,99.9999463558197
1696219360,1696219369,99.99999403953552
1696219370,1696219379,100.0
1696219380,1696219389,99.99997019767761
1696219390,1696219399,99.99991059303284
1696219400,1696219409,99.99969601631165
1696219410,1696219419,99.99994039535522
1696219420,1696219429,99.99982714653015
1696219430,1696219439,99.9993622303009
1696219440,1696219449,99.99923706054688
1696219450,1696219459,99.99985098838806
1696219460,1696219469,99.99998807907104
1696219470,1696219479,99.99993443489075
1696219480,1696219489,99.99995827674866
1696219490,1696219499,99.99992251396179
1696219500,1696219509,99.99197125434875
1696219510,1696219519,100.0
1696219520,1696219529,99.99724626541138
1696219530,1696219539,99.99997615814209
1696219540,1696219549,99.99989867210388
1696219550,1696219559,99.99992847442627
1696219560,1696219569,99.98694062232971
1696219570,1696219579,99.99951124191284
1696219580,1696219589,99.99949336051941
1696219590,1696219599,99.99410510063171
1696219600,1696219609,99.88191723823547
1696219610,1696219619,99.99813437461853
1696219620,1696219629,99.99938607215881
1696219630,1696219639,99.99351501464844
1696219640,1696219649,99.9999463558197
1696219650,1696219659,99.9997615814209
1696219660,1696219669,99.99635219573975
1696219670,1696219679,99.99997019767761
